title;type;scimago_value;jcs_value
Bone Research;journal;3.29;13.57
Evidence-Based Mental Health;journal;2.28;8.14
Macromolecules;journal;1.99;5.99
Aging and Disease;journal;1.81;6.75
New Astronomy Reviews;journal;1.79;3.29
International Journal of Clinical and Health Psychology;journal;1.58;5.35
BMC Evolutionary Biology;journal;1.53;3.26
International Journal of Electronic Commerce;journal;1.17;4.30
Oxford Bulletin of Economics and Statistics;journal;1.13;1.79
Scandinavian Actuarial Journal;journal;1.06;1.74
Frontiers in Integrative Neuroscience;journal;1.04;2.76
American Journal of Translational Research;journal;1.03;4.06
Human Resource Development Review;journal;0.94;4.74
Protist;journal;0.92;2.57
BMC Neurology;journal;0.86;2.47
Psychiatric Quarterly;journal;0.79;2.83
Archives of Dermatological Research;journal;0.78;3.02
International Journal of Algebra and Computation;journal;0.77;0.72
Nordic Journal of Psychiatry;journal;0.77;2.20
Journal of Physical Chemistry A;journal;0.76;2.78
Research Papers in Education;journal;0.76;2.64
Sexual and Reproductive Health Matters;journal;0.76;2.56
Freshwater Science;journal;0.74;2.03
Foundations and Trends in Information Retrieval;journal;0.73;8.00
Optimization Letters;journal;0.72;1.77
Advanced Composite Materials;journal;0.69;2.87
Food Analytical Methods;journal;0.68;3.37
Meteorologische Zeitschrift;journal;0.68;1.92
Australian Journal of Agricultural and Resource Economics;journal;0.68;2.86
Structural Engineering and Mechanics;journal;0.65;3.52
Annual Reports on NMR Spectroscopy;book series;0.58;3.00
International Journal of Lean Six Sigma;journal;0.58;3.33
Education for Chemical Engineers;journal;0.57;2.33
European Journal of Environmental and Civil Engineering;journal;0.53;2.52
Asia-Pacific Education Researcher;journal;0.53;2.41
PhytoKeys;journal;0.51;1.64
Aquatic Biology;journal;0.45;1.80
Annals of Geophysics;journal;0.39;1.36
Seed Science and Technology;journal;0.25;0.91
Astrophysics;journal;0.24;0.72
Indian Journal of Hematology and Blood Transfusion;journal;0.21;0.90
Periodicum Biologorum;journal;0.18;0.31
Ecology Law Quarterly;journal;0.18;0.92
Current History;journal;0.17;0.39
Journal of Policy History;journal;0.16;0.56
Implantologie;journal;0.14;0.13
Annual Review of Pharmacology and Toxicology;journal;4.97;13.82
IEEE Transactions on Industrial Informatics;journal;2.50;10.22
Endoscopy;journal;1.78;10.09
Cerebellum;journal;1.42;3.85
Global Spine Journal;journal;1.40;2.92
MycoKeys;journal;1.17;2.98
Journal of Risk and Uncertainty;journal;1.17;1.72
ACS Chemical Neuroscience;journal;1.16;4.42
Seminars in Thrombosis and Hemostasis;journal;1.12;4.18
Community Dentistry and Oral Epidemiology;journal;1.06;3.38
Inverse Problems;journal;1.00;2.41
Pathogens and Disease;journal;0.98;3.17
Metabolomics;journal;0.92;4.29
Progress in Organic Coatings;journal;0.92;5.16
Evolutionary Ecology;journal;0.91;2.72
Amino Acids;journal;0.89;3.52
Theory and Society;journal;0.83;1.83
IEEE Transactions on Instrumentation and Measurement;journal;0.82;4.02
Annals of Dyslexia;journal;0.78;1.52
Journal of Pharmacy and Pharmacology;journal;0.75;3.77
Environmental Archaeology;journal;0.70;2.21
Acta Mechanica;journal;0.69;2.70
Theory and Practice of Logic Programming;journal;0.69;0.75
Microbiology and Immunology;journal;0.66;1.96
Facies;journal;0.65;1.93
Journal of Paediatrics and Child Health;journal;0.63;1.95
Optical Materials;journal;0.60;3.08
Dermatologic Therapy;journal;0.60;2.85
IEEE Access;journal;0.59;3.37
Bulletin of Symbolic Logic;journal;0.59;0.86
International Journal of Modern Physics A;journal;0.58;1.38
Journal of the Society for Information Display;journal;0.58;2.14
Journal of Bryology;journal;0.56;1.36
Neuroethics;journal;0.53;1.48
Journal of the American Association for Laboratory Animal Science;journal;0.51;1.23
Journal of Polymer Research;journal;0.50;3.10
Regional Studies in Marine Science;journal;0.46;1.62
Brazilian Journal of Probability and Statistics;journal;0.44;0.99
Southern California Law Review;journal;0.42;1.39
BioResources;journal;0.40;1.61
Zoological Science;journal;0.39;0.93
Acta of Bioengineering and Biomechanics;journal;0.36;1.07
Journal of Ichthyology;journal;0.35;0.60
Virginia Law Review;journal;0.35;2.07
Computational Economics;journal;0.35;1.88
Nagoya Journal of Medical Science;journal;0.33;1.13
Biochemical Systematics and Ecology;journal;0.31;1.38
Journal of Systems Engineering and Electronics;journal;0.30;1.19
Journal of Community Health Nursing;journal;0.30;0.97
Mechanics of Solids;journal;0.28;0.45
Cereal Research Communications;journal;0.28;0.85
Medical History;journal;0.23;1.42
South African Journal of Business Management;journal;0.18;0.55
Physics in Perspective;journal;0.10;0.21
Organization Science;journal;6.96;5.00
Personnel Psychology;journal;6.08;7.07
Journal of Politics;journal;3.49;3.46
Clinical Infectious Diseases;journal;3.44;9.08
Microbiology spectrum;journal;2.50;7.17
Neurobiology of Stress;journal;2.48;5.44
Sociological Science;journal;2.31;4.24
British Journal of Surgery;journal;2.20;6.94
Frontiers in Neural Circuits;journal;2.04;3.49
Current Opinion in Environmental Sustainability;journal;2.03;6.98
International Studies Quarterly;journal;1.90;2.94
Liver Transplantation;journal;1.81;5.80
Journal of Shoulder and Elbow Surgery;journal;1.79;3.02
Surgery;journal;1.53;3.98
Differential and Integral Equations;journal;1.45;1.40
Infancy;journal;1.36;2.05
Journal of Applied Communication Research;journal;1.11;2.86
American Journal of Cardiovascular Drugs;journal;1.06;3.57
Applied Mathematical Modelling;journal;1.01;5.13
Journal of Breast Cancer;journal;1.00;3.59
Water Resources Management;journal;0.94;3.52
Plant Pathology;journal;0.93;2.59
Evolutionary Psychology;journal;0.89;1.51
BMC Cardiovascular Disorders;journal;0.82;2.30
Journal of Pediatric Urology;journal;0.72;1.83
Archives of Animal Nutrition;journal;0.72;2.24
Acta Physiologiae Plantarum;journal;0.60;2.35
Journal of African Earth Sciences;journal;0.57;2.05
Image and Vision Computing;journal;0.57;2.82
Journal of Alternative and Complementary Medicine;journal;0.55;2.58
IMA Journal of Applied Mathematics;journal;0.47;0.85
Bothalia;journal;0.46;0.78
Revista Latino-Americana de Enfermagem;journal;0.39;1.44
Infancia y Aprendizaje;journal;0.36;0.85
Science Progress;journal;0.31;2.77
Southwestern Entomologist;journal;0.31;0.51
Northwest Science;journal;0.30;0.59
Nigerian Journal of Clinical Practice;journal;0.29;0.97
Ukrainian Journal of Physical Optics;journal;0.26;0.78
Israel Affairs;journal;0.22;0.38
European Journal of English Studies;journal;0.18;0.34
Food Technology;trade journal;0.13;0.37
Global Change Biology;journal;4.15;10.86
Digital Journalism;journal;3.50;7.99
Stem Cell Reports;journal;3.21;7.77
Autoimmunity Reviews;journal;2.62;9.75
Review of International Organizations;journal;2.27;7.80
International Journal of Neuropsychopharmacology;journal;1.90;5.18
Behavior Therapy;journal;1.89;4.18
Carbohydrate Polymers;journal;1.64;9.38
Molecular Phylogenetics and Evolution;journal;1.61;4.29
Political Research Quarterly;journal;1.47;2.56
Journal of Linguistic Anthropology;journal;1.46;1.87
International journal of oral science;journal;1.40;6.34
Journal of Environmental Sciences;journal;1.32;5.57
Journal of Behavioral Medicine;journal;1.21;2.96
Reading and Writing;journal;1.15;2.87
Mathematical Thinking and Learning;journal;1.10;1.67
Expert Review of Respiratory Medicine;journal;1.01;3.77
Maternal and Child Health Journal;journal;1.00;2.28
Archives of Gerontology and Geriatrics;journal;0.99;3.25
Current Cancer Drug Targets;journal;0.97;3.43
Nursing Outlook;journal;0.95;3.25
Current Medicinal Chemistry;journal;0.93;4.53
Problems of Post-Communism;journal;0.87;2.13
Public Choice;journal;0.83;2.02
JAMA Facial Plastic Surgery;journal;0.82;4.61
RSC Advances;journal;0.75;3.36
Neuroimaging Clinics of North America;journal;0.73;2.26
Laboratory Phonology;journal;0.73;1.67
Neuropsychobiology;journal;0.71;2.33
International Journal of Food Sciences and Nutrition;journal;0.69;3.83
Swiss Journal of Geosciences;journal;0.67;2.19
Journal of Plant Nutrition and Soil Science;journal;0.64;2.43
Brazilian Journal of Microbiology;journal;0.64;2.48
Zoological Studies;journal;0.64;2.06
Journal of Asian Economics;journal;0.64;2.16
Fitoterapia;journal;0.62;2.88
Feminist Economics;journal;0.61;1.80
International Journal of Agricultural and Biological Engineering;journal;0.57;2.03
Journal of Civil Engineering and Management;journal;0.53;2.96
Rare Metals;journal;0.53;4.00
Journal of Natural Medicines;journal;0.51;2.34
ANZ Journal of Surgery;journal;0.43;1.87
Nota Lepidopterologica;journal;0.40;0.79
International Journal of Network Management;journal;0.37;1.71
AIMS Mathematics;journal;0.33;1.43
IET Software;journal;0.31;1.36
High Temperature Materials and Processes;journal;0.27;0.83
Nephrology Nursing Journal;journal;0.19;0.96
Journal of Chemical Research;journal;0.19;0.78
Annals of Internal Medicine;journal;3.84;25.39
BMC Medicine;journal;3.46;8.78
Gondwana Research;journal;2.86;6.05
Journal of Public Relations Research;journal;2.66;6.41
Energy Policy;journal;2.09;6.14
Virtual and Physical Prototyping;journal;1.73;8.09
Insect Biochemistry and Molecular Biology;journal;1.72;4.71
Nano Convergence;journal;1.64;8.53
Review of General Psychology;journal;1.52;3.44
Journal of Urban Technology;journal;1.48;5.47
Journal of Neuropathology and Experimental Neurology;journal;1.44;3.69
Structural and Multidisciplinary Optimization;journal;1.40;4.54
Personality and Individual Differences;journal;1.33;3.00
Journal of Adolescence;journal;1.26;3.26
Consciousness and Cognition;journal;1.22;2.44
Maternal and Child Nutrition;journal;1.18;3.09
Kidney Research and Clinical Practice;journal;1.15;3.67
Cancer Chemotherapy and Pharmacology;journal;1.11;3.33
Library Quarterly;journal;0.97;1.90
Ecosystem Health and Sustainability;journal;0.96;2.79
Cliometrica;journal;0.94;2.17
Human Immunology;journal;0.91;2.85
Virtual Reality;journal;0.89;5.10
Conservation Genetics;journal;0.83;2.54
Ecological Psychology;journal;0.80;2.78
Current Sociology;journal;0.77;2.39
Journal of Maps;journal;0.74;2.71
Collectanea Mathematica;journal;0.72;0.87
Journal of Special Education Technology;journal;0.68;1.89
Journal of Fish Biology;journal;0.67;2.05
Geophysical and Astrophysical Fluid Dynamics;journal;0.61;1.45
Urban Water Journal;journal;0.59;2.08
Australian Journal of Public Administration;journal;0.52;1.80
Genetic Resources and Crop Evolution;journal;0.48;1.52
Acta Botanica Brasilica;journal;0.47;1.27
International Journal of Low-Carbon Technologies;journal;0.46;2.46
Therapeutic Apheresis and Dialysis;journal;0.42;1.76
IMA Journal of Mathematical Control and Information;journal;0.39;1.56
Journal of Systems Science and Systems Engineering;journal;0.37;1.17
Fullerenes Nanotubes and Carbon Nanostructures;journal;0.36;1.87
Polish Journal of Microbiology;journal;0.31;1.28
Schmerz;journal;0.30;1.11
Journal of Testing and Evaluation;journal;0.30;1.26
American Malacological Bulletin;journal;0.28;0.81
Ornitologia Neotropical;journal;0.26;0.48
Rethinking History;journal;0.25;1.00
Journal of the Hellenic Veterinary Medical Society;journal;0.19;0.48
Investigacion Economica;journal;0.19;0.51
Economic Policy;journal;4.58;2.94
Human Genetics;journal;2.35;4.13
Photonics Research;journal;2.07;7.08
Journal of School Psychology;journal;1.99;4.29
Journal of Pain;journal;1.97;5.82
Current environmental health reports;journal;1.70;7.12
Elements;journal;1.35;3.67
Quarterly Journal of Experimental Psychology;journal;1.25;2.14
Health Care Management Review;journal;1.16;3.33
International Journal of Biological Macromolecules;journal;1.14;6.95
Journal of Environmental Education;journal;1.11;2.92
Journal of the Taiwan Institute of Chemical Engineers;journal;0.99;5.88
Journal of Human Nutrition and Dietetics;journal;0.95;3.09
Energy Technology;journal;0.91;3.63
Journal of Deaf Studies and Deaf Education;journal;0.86;1.76
Behavioral and Brain Sciences;journal;0.81;12.58
Optometry and Vision Science;journal;0.78;1.97
Journal of Separation Science;journal;0.72;3.65
Electrocatalysis;journal;0.72;2.71
Computational Geosciences;journal;0.70;2.41
Ars Mathematica Contemporanea;journal;0.67;0.67
Advances in Concrete Construction;journal;0.54;3.21
Journal of Information Science;journal;0.50;3.28
Cytotechnology;journal;0.49;2.06
Analysis and Mathematical Physics;journal;0.46;1.55
Progress in Transplantation;journal;0.40;1.19
Indian Journal of Genetics and Plant Breeding;journal;0.30;0.51
Chemical Research in Chinese Universities;journal;0.26;1.31
Journal of Legal Studies;journal;0.25;1.11
Baltica;journal;0.24;0.47
Journal of the History of Medicine and Allied Sciences;journal;0.23;2.09
Microelectronics International;journal;0.20;0.76
Journal of the Palaeontological Society of India;journal;0.17;0.71
Laeknabladid;journal;0.15;0.55
Labour History;journal;0.10;0.24
Analytic Methods in Accident Research;journal;6.22;11.81
Annual Review of Marine Science;journal;5.88;13.85
ACS Materials Letters;journal;3.66;8.31
NPG Asia Materials;journal;3.08;10.48
Journal of Infectious Diseases;journal;2.69;5.23
Gastrointestinal Endoscopy;journal;2.37;9.43
Research on Language and Social Interaction;journal;1.76;3.08
Urban Geography;journal;1.67;4.73
Journal of Health and Social Behavior;journal;1.65;4.46
Information Sciences;journal;1.52;6.80
Plant Science;journal;1.51;4.73
Journal of Personality Assessment;journal;1.31;3.78
IEEE Journal of Biomedical and Health Informatics;journal;1.29;5.77
Bulletin of the Seismological Society of America;journal;1.26;2.91
Journal of Nuclear Materials;journal;1.12;2.94
Physics of the Earth and Planetary Interiors;journal;1.10;2.26
Journal of Cognition and Development;journal;1.04;1.83
Journal of Intellectual Disability Research;journal;0.94;2.42
International Journal of Accounting Information Systems;journal;0.90;4.40
Botanical Journal of the Linnean Society;journal;0.87;2.91
BMC Veterinary Research;journal;0.85;2.74
Current Opinion in Urology;journal;0.80;2.31
Journal of Responsible Innovation;journal;0.79;4.03
Journal of Medical Ethics;journal;0.77;2.90
European Journal of Histochemistry;journal;0.75;3.19
Transactions of Nonferrous Metals Society of China;journal;0.74;2.92
Journal of Public Transportation;journal;0.72;2.53
Shock Waves;journal;0.68;1.76
Journal of Toxicologic Pathology;journal;0.62;1.63
Geologica Acta;journal;0.52;1.43
Rubber Chemistry and Technology;journal;0.52;1.87
BioInvasions Records;journal;0.50;1.61
International Social Work;journal;0.46;1.35
Anais Brasileiros de Dermatologia;journal;0.46;1.90
International Journal of Acarology;journal;0.45;1.06
International Journal of Cognitive Therapy;journal;0.45;1.22
Pure and Applied Chemistry;journal;0.44;2.45
International Journal of Manpower;journal;0.44;1.75
International Journal of Aeroacoustics;journal;0.42;1.12
Vanderbilt Law Review;journal;0.40;2.45
Indian Journal of Medical Microbiology;journal;0.38;0.99
Communications in Soil Science and Plant Analysis;journal;0.36;1.33
Acta Ichthyologica et Piscatoria;journal;0.36;0.93
Journal of Porphyrins and Phthalocyanines;journal;0.32;1.81
Rhodora;journal;0.31;0.62
Technical Physics;journal;0.30;0.65
Journal of the Economic and Social History of the Orient;journal;0.29;0.70
IEEE Technology and Society Magazine;journal;0.27;1.55
Interdisciplinary Science Reviews;journal;0.24;1.00
Journal of Psychology and Theology;journal;0.20;0.60
Zeitschrift fur Sportpsychologie;journal;0.18;1.14
Berliner und Munchener Tierarztliche Wochenschrift;journal;0.17;0.33
Deutsche Medizinische Wochenschrift;journal;0.15;0.63
Cultural Critique;journal;0.13;0.08
Diabetes Care;journal;6.64;19.11
ACS Nano;journal;5.55;15.88
Acta Mathematica;journal;4.19;4.27
Genetics;journal;2.79;4.56
International Security;journal;2.69;7.49
Journal of Autoimmunity;journal;2.17;7.09
Biology and Fertility of Soils;journal;2.11;6.43
IEEE Transactions on Power Delivery;journal;1.57;4.13
Journal of Biological Rhythms;journal;1.48;3.18
Current Treatment Options in Oncology;journal;1.46;5.04
Communications in Contemporary Mathematics;journal;1.40;1.67
Animal Nutrition;journal;1.36;6.38
Expert Opinion on Drug Discovery;journal;1.32;6.10
